P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,kp_roll,ki_roll,kp_pitch,ki_pitch,kp_yaw,ki_yaw,Sig_RA,Sig_Dec,Sig_FR,P2P_RA,P2P_DEC,P2P_FR
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,376.71543971955543,721.6003657978974,268.20225575369625,8107.911903673215,271.3851547020274,6792.524005486968,21.09052235404414,1.9054822321152614,18.69849710801582,79.56653023020768,8.274071005991315,70.8606905781033
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,376.4910550983086,701.0150891632379,265.4263831732969,8241.886859853676,268.1376314586194,7233.281893004116,21.015532554738098,1.902934789304238,18.642957307765126,78.50924818285644,8.229718578675609,70.18685824580265
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,386.20594231062375,720.2926383173301,282.6379362901997,8187.0576607986495,259.9385764365194,6549.296982167349,21.13170867028583,1.9110973119202628,18.72624417143408,79.80591463816748,8.279651560438484,71.10107444212473
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,373.20272014555735,671.832418838592,256.92491617131543,8409.742810261389,267.0463725041916,7942.879801097397,20.98047879420639,1.9108577925944374,18.636687880626738,77.43574753182348,7.983973240908454,69.80123556471595
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,378.38462680358737,694.2367779301944,273.835130569527,8664.74970866356,273.8429228268053,6196.923582533154,21.21893208694623,1.9299804389667539,18.788955444740584,82.02331659547198,8.590442922303174,73.53490888366515
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,376.4595826268229,683.0036389269933,261.28285671645585,8246.546223462185,262.2570270029977,7965.897562299955,20.973703537737215,1.9058509983606051,18.62961681462745,77.12685197496958,7.913961649829418,69.44916742984047
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,363.549747548117,647.2178720215416,265.36090524395,8206.082636679392,272.41175654964536,8291.180245960983,21.05830315863115,1.9254835009270697,18.7291482096042,79.1326246829833,7.940647546950229,71.58492019476145
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,381.21579765520517,698.3991182111472,264.7155692465157,8416.017401282323,263.4283849535982,7200.881481243334,21.010786134703682,1.905285080971617,18.63711266175514,78.48261360503612,8.228705051390504,70.10450807972829
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,358.1834084949139,692.9805410548872,262.7043665977268,8502.008190193254,261.19652684281994,7858.140739708759,20.963186118341582,1.9076151281496705,18.61491157619689,77.05246213479013,7.976658508887696,69.37147436004287
450.0,800.0,1000.0,1500.0,7500.0,1000.0,0.005,0.4,0.1,0.01,0.001,0.1,342.446580506431,701.0345975905611,260.7832302806779,8629.73382164105,256.9978080968772,8160.667899686592,20.97226492187976,1.9149880388618907,18.63361045482276,76.82350834491032,7.838205669487744,69.22053930809594
